user_id:spi, total:   14
user_id:and, total:   11
user_id:nek, total:    7
user_id:dan, total:    7
user_id:asc, total:    6
user_id:seo, total:    5
user_id:pan, total:    5
user_id:see, total:    5
user_id:pmp, total:    4
user_id:han, total:    4
user_id:tod, total:    4
user_id:jin, total:    3
user_id:mil, total:    3
user_id:alp, total:    3
user_id:pin, total:    3
user_id:ljh, total:    3
user_id:ivy, total:    3
user_id:mon, total:    3
user_id:log, total:    3
user_id:ors, total:    3
user_id:loe, total:    3
user_id:dlw, total:    3
user_id:tar, total:    2
user_id:sun, total:    2
user_id:blg, total:    2
user_id:pin, total:    2
user_id:wkd, total:    2
user_id:kim, total:    2
user_id:jue, total:    2
user_id:cli, total:    2
user_id:can, total:    2
user_id:mir, total:    2
user_id:guw, total:    2
user_id:ror, total:    2
user_id:mal, total:    2
user_id:ugu, total:    2
user_id:pop, total:    2
user_id:dlt, total:    2
user_id:tom, total:    2
user_id:das, total:    2
user_id:th2, total:    1
user_id:ljb, total:    1
user_id:gih, total:    1
user_id:rch, total:    1
user_id:eil, total:    1
user_id:sjw, total:    1
user_id:rnd, total:    1
user_id:gib, total:    1
user_id:ior, total:    1
user_id:ero, total:    1
