user_id:sas, total:   12
user_id:hel, total:    9
user_id:asc, total:    8
user_id:liv, total:    5
user_id:que, total:    4
user_id:tt4, total:    4
user_id:pen, total:    4
user_id:lee, total:    4
user_id:lin, total:    4
user_id:pan, total:    4
user_id:tea, total:    3
user_id:bor, total:    3
user_id:typ, total:    3
user_id:kic, total:    3
user_id:fam, total:    3
user_id:eey, total:    3
user_id:new, total:    3
user_id:fro, total:    3
user_id:cho, total:    3
user_id:lut, total:    3
user_id:mor, total:    3
user_id:fiv, total:    3
user_id:mar, total:    3
user_id:doy, total:    3
user_id:cor, total:    3
user_id:ys9, total:    3
user_id:dar, total:    3
user_id:rid, total:    3
user_id:cli, total:    3
user_id:drk, total:    3
user_id:hon, total:    3
user_id:cha, total:    3
user_id:cli, total:    3
user_id:yab, total:    3
user_id:hit, total:    3
user_id:jin, total:    2
user_id:lik, total:    2
user_id:elb, total:    2
user_id:fru, total:    2
user_id:mbc, total:    2
user_id:drp, total:    2
user_id:lol, total:    2
user_id:pjy, total:    2
user_id:ind, total:    2
user_id:sin, total:    2
user_id:jho, total:    2
user_id:kja, total:    2
user_id:my8, total:    2
user_id:ggk, total:    2
user_id:cas, total:    2
