user_id:dl, total:   48
user_id:so, total:   28
user_id:uk, total:   25
user_id:da, total:   23
user_id:le, total:   21
user_id:as, total:   19
user_id:ki, total:   19
user_id:do, total:   18
user_id:gr, total:   17
user_id:do, total:   17
user_id:be, total:   16
user_id:yh, total:   16
user_id:nu, total:   16
user_id:li, total:   14
user_id:da, total:   13
user_id:ra, total:   13
user_id:na, total:   13
user_id:hy, total:   12
user_id:jo, total:   11
user_id:sy, total:   11
user_id:dr, total:   11
user_id:pg, total:   10
user_id:bg, total:   10
user_id:ct, total:   10
user_id:si, total:   10
user_id:le, total:   10
user_id:db, total:   10
user_id:co, total:   10
user_id:ra, total:    9
user_id:to, total:    9
user_id:mo, total:    9
user_id:ha, total:    9
user_id:lj, total:    9
user_id:ko, total:    9
user_id:do, total:    9
user_id:cl, total:    9
user_id:pi, total:    9
user_id:42, total:    9
user_id:yo, total:    8
user_id:Ju, total:    8
user_id:os, total:    8
user_id:yj, total:    8
user_id:cl, total:    7
user_id:to, total:    7
user_id:vi, total:    7
user_id:as, total:    6
user_id:pp, total:    6
user_id:zz, total:    6
user_id:gu, total:    6
user_id:at, total:    6
